Open,High,Low,Close,Volume,Complete,Timestamp
69457.31,69457.32,69457.31,69457.31,0.00398,True,2026-03-11 11:48:44
69457.32,69457.32,69457.31,69457.31,0.00285,True,2026-03-11 11:48:45
69457.31,69457.32,69457.31,69457.32,0.00534,True,2026-03-11 11:48:46
69457.32,69457.32,69457.31,69457.31,0.00278,True,2026-03-11 11:48:47
69457.32,69457.32,69457.32,69457.32,0.00079,True,2026-03-11 11:48:48
69457.32,69458.24,69457.32,69458.24,0.02887,True,2026-03-11 11:48:49
69458.25,69458.25,69458.24,69458.25,0.02925,True,2026-03-11 11:48:50
69458.25,69458.25,69458.25,69458.25,0.03879,True,2026-03-11 11:48:51
69458.24,69458.25,69458.24,69458.25,0.00489,True,2026-03-11 11:48:52
69458.25,69458.25,69458.25,69458.25,0.0826,True,2026-03-11 11:48:53
69458.25,69458.25,69458.25,69458.25,0.0274,True,2026-03-11 11:48:54
69458.24,69458.25,69458.24,69458.24,0.00251,True,2026-03-11 11:48:55
69458.24,69458.24,69458.24,69458.24,0.00196,True,2026-03-11 11:48:56
69458.24,69458.24,69458.24,69458.24,0.00031,True,2026-03-11 11:48:57
69458.24,69458.25,69458.24,69458.25,0.00035,True,2026-03-11 11:48:58
69458.24,69458.24,69457.31,69457.31,0.17854,True,2026-03-11 11:48:59
69457.31,69457.32,69457.31,69457.31,0.00055,True,2026-03-11 11:49:00
69457.31,69461.35,69457.31,69461.35,0.01504,True,2026-03-11 11:49:01
69461.36,69469.86,69461.35,69469.86,0.12082,True,2026-03-11 11:49:02
69469.85,69469.86,69469.85,69469.86,0.00312,True,2026-03-11 11:49:03
69469.85,69469.85,69469.85,69469.85,0.00012,True,2026-03-11 11:49:04
69469.85,69469.86,69469.85,69469.85,0.00256,True,2026-03-11 11:49:05
69469.86,69469.86,69469.85,69469.85,0.00224,True,2026-03-11 11:49:06
69469.86,69469.86,69469.86,69469.86,8e-05,True,2026-03-11 11:49:07
69469.86,69469.86,69469.85,69469.85,0.00505,True,2026-03-11 11:49:08
69469.85,69469.86,69469.85,69469.85,0.01294,True,2026-03-11 11:49:09
69469.86,69469.86,69469.85,69469.86,0.00602,True,2026-03-11 11:49:10
69469.85,69469.86,69469.85,69469.86,0.00609,True,2026-03-11 11:49:11
69469.85,69469.86,69469.85,69469.85,0.0241,True,2026-03-11 11:49:12
69469.86,69469.86,69469.86,69469.86,0.06758,True,2026-03-11 11:49:13
69469.85,69469.85,69469.85,69469.85,0.00323,True,2026-03-11 11:49:14
69469.86,69469.86,69469.85,69469.85,0.0002,True,2026-03-11 11:49:15
69469.85,69469.86,69469.85,69469.85,0.00434,True,2026-03-11 11:49:16
69469.85,69469.85,69469.85,69469.85,0.0,True,2026-03-11 11:49:17
69469.86,69469.86,69469.86,69469.86,0.01216,True,2026-03-11 11:49:18
69469.86,69469.86,69469.86,69469.86,0.00071,True,2026-03-11 11:49:19
69469.86,69469.86,69469.85,69469.85,0.01295,True,2026-03-11 11:49:20
69469.86,69469.86,69469.85,69469.85,0.01187,True,2026-03-11 11:49:21
69469.85,69469.86,69469.85,69469.86,0.01275,True,2026-03-11 11:49:22
69469.85,69469.85,69455.27,69455.27,1.02288,True,2026-03-11 11:49:23
