Open,High,Low,Close,Volume,Complete,Timestamp,hl_range,oc_change,returns,sma_5,ema_5,sma_10,ema_10,sma_20,ema_20,sma_50,ema_50,sma_100,ema_100,vol_5,rsi_5,vol_mean_5,vol_std_5,vol_10,rsi_10,vol_mean_10,vol_std_10,vol_20,rsi_20,vol_mean_20,vol_std_20,bb_upper_20,bb_lower_20,Close_lag_1,Close_lag_2,Close_lag_3,Close_lag_4,Close_lag_5,Volume_lag_1,Volume_lag_2,Volume_lag_3,Volume_lag_4,Volume_lag_5,returns_lag_1,returns_lag_2,returns_lag_3,returns_lag_4,returns_lag_5
69458.25,69458.25,69458.24,69458.25,0.02925,True,2026-03-11 11:48:50,0.00999999999476131,0.0,1.4397139924682278e-07,69457.688,69457.83213991771,69457.58,69457.62128810128,69457.58,69457.48107766434,69457.58,69457.38259928364,69457.58,69457.34703808276,0.5084977876081456,98.95833333238595,0.013406000000000001,0.014381440470272788,0.4543126676643489,98.95833333238595,0.010551428571428573,0.012718371788573449,0.4543126676643489,98.95833333238595,0.010551428571428573,0.012718371788573449,69458.48862533533,69456.67137466467,69458.24,69457.32,69457.31,69457.32,69457.31,0.02887,0.00079,0.00278,0.00534,0.00285,1.3245544170148449e-05,1.4397332703808274e-07,-1.4397330627691218e-07,1.4397332703808274e-07,0.0
69458.25,69458.25,69458.25,69458.25,0.03879,True,2026-03-11 11:48:51,0.0,0.0,0.0,69457.874,69457.97142661181,69457.66375,69457.73559935558,69457.66375,69457.55430836297,69457.66375,69457.41661499802,69457.66375,69457.36491851676,0.5103234268629144,98.9473684200852,0.020096,0.01719600186089778,0.4827284803217287,98.95833333238595,0.01408125,0.015437809279724336,0.4827284803217287,98.95833333238595,0.01408125,0.015437809279724336,69458.62920696066,69456.69829303936,69458.25,69458.24,69457.32,69457.31,69457.32,0.02925,0.02887,0.00079,0.00278,0.00534,1.4397139924682278e-07,1.3245544170148449e-05,1.4397332703808274e-07,-1.4397330627691218e-07,1.4397332703808274e-07
69458.24,69458.25,69458.24,69458.25,0.00489,True,2026-03-11 11:48:52,0.00999999999476131,0.00999999999476131,0.0,69458.062,69458.06428440788,69457.7288888889,69457.82912674548,69457.7288888889,69457.62056470936,69457.7288888889,69457.4492967628,69457.7288888889,69457.38244488277,0.41481321098157137,100.0,0.020518,0.01668306087023601,0.4920224701263522,98.95833333238595,0.01306,0.014762173789791258,0.4920224701263522,98.95833333238595,0.01306,0.014762173789791258,69458.71293382916,69456.74484394865,69458.25,69458.25,69458.24,69457.32,69457.31,0.03879,0.02925,0.02887,0.00079,0.00278,0.0,1.4397139924682278e-07,1.3245544170148449e-05,1.4397332703808274e-07,-1.4397330627691218e-07
69458.25,69458.25,69458.25,69458.25,0.0826,True,2026-03-11 11:48:53,0.0,0.0,0.0,69458.24799999999,69458.12618960526,69457.781,69457.90564915538,69457.781,69457.68051092752,69457.781,69457.48069688976,69457.781,69457.39962419201,0.004472136732381447,100.0,0.03688,0.02845919710743787,0.49228379348705903,98.95833333238595,0.020014,0.026024784426474015,0.49228379348705903,98.95833333238595,0.020014,0.026024784426474015,69458.76556758698,69456.79643241303,69458.25,69458.25,69458.25,69458.24,69457.32,0.00489,0.03879,0.02925,0.02887,0.00079,0.0,0.0,1.4397139924682278e-07,1.3245544170148449e-05,1.4397332703808274e-07
69458.25,69458.25,69458.25,69458.25,0.0274,True,2026-03-11 11:48:54,0.0,0.0,0.0,69458.25,69458.16745973684,69457.875,69457.96825839985,69457.82363636364,69457.73474798205,69457.82363636364,69457.51086563918,69457.82363636364,69457.41646331691,2.6504720090375374e-06,100.0,0.036586,0.028570009275462268,0.4819923927391971,98.95833333238595,0.022356,0.025469412679177003,0.4879605051035706,98.95833333238595,0.02068545454545455,0.024789510428258308,69458.79955737384,69456.84771535343,69458.25,69458.25,69458.25,69458.25,69458.24,0.0826,0.00489,0.03879,0.02925,0.02887,0.0,0.0,0.0,1.4397139924682278e-07,1.3245544170148449e-05
69458.24,69458.25,69458.24,69458.24,0.00251,True,2026-03-11 11:48:55,0.00999999999476131,0.0,-1.4397137837462992e-07,69458.24799999999,69458.19163982457,69457.96800000001,69458.0176659635,69457.85833333334,69457.78286722185,69457.85833333334,69457.53945914353,69457.85833333334,69457.432770974,0.004472136732381447,0.0,0.031238,0.03251666142149283,0.44948859828165394,97.93814432951027,0.022322,0.02549855542749214,0.4805268573150121,97.93814432951027,0.019170833333333335,0.02421122296424207,69458.81938704797,69456.8972796187,69458.25,69458.25,69458.25,69458.25,69458.25,0.0274,0.0826,0.00489,0.03879,0.02925,0.0,0.0,0.0,0.0,1.4397139924682278e-07
69458.24,69458.24,69458.24,69458.24,0.00196,True,2026-03-11 11:48:56,0.0,0.0,0.0,69458.24600000001,69458.20775988305,69458.06000000001,69458.05809033377,69457.88769230769,69457.82640367691,69457.88769230769,69457.56693133397,69457.88769230769,69457.44875570718,0.005477226207164365,0.0,0.023872,0.03448989663655141,0.39268307829532934,97.91666666625613,0.021984000000000004,0.02576963596517766,0.47209027819267113,97.93814432951027,0.01784692307692308,0.02366686093275271,69458.83187286407,69456.9435117513,69458.24,69458.25,69458.25,69458.25,69458.25,0.00251,0.0274,0.0826,0.00489,0.03879,-1.4397137837462992e-07,0.0,0.0,0.0,0.0
69458.24,69458.24,69458.24,69458.24,0.00031,True,2026-03-11 11:48:57,0.0,0.0,0.0,69458.244,69458.2185065887,69458.153,69458.09116481853,69457.91285714286,69457.86579380292,69457.91285714286,69457.59332618362,69457.91285714286,69457.464423911,0.00547722620417546,0.0,0.022956,0.03517409600828428,0.29272854314697033,98.94736842160084,0.021737000000000003,0.025985093611530438,0.46323990413816823,97.93814432951025,0.016594285714285718,0.02321640657091304,69458.83933695113,69456.98637733459,69458.24,69458.24,69458.25,69458.25,69458.25,0.00196,0.00251,0.0274,0.0826,0.00489,0.0,-1.4397137837462992e-07,0.0,0.0,0.0
69458.24,69458.25,69458.24,69458.25,0.00035,True,2026-03-11 11:48:58,0.00999999999476131,0.00999999999476131,1.4397139924682278e-07,69458.244,69458.22900439247,69458.246,69458.12004394243,69457.93533333334,69457.90238486932,69457.93533333334,69457.619078098,69457.93533333334,69457.47997987317,0.00547722620417546,50.0,0.0065060000000000005,0.011720496149907642,0.005163974618532609,98.94736842158473,0.021693,0.026024845842216073,0.4547977048924928,97.95918367307544,0.015511333333333334,0.02276166101981471,69458.84492874313,69457.02573792356,69458.24,69458.24,69458.24,69458.25,69458.25,0.00031,0.00196,0.00251,0.0274,0.0826,0.0,0.0,-1.4397137837462992e-07,0.0,0.0
69458.24,69458.24,69457.31,69457.31,0.17854,True,2026-03-11 11:48:59,0.930000000007567,-0.930000000007567,-1.3533309578095398e-05,69458.05600000001,69457.92266959499,69458.153,69457.97276322563,69457.89625,69457.84596726272,69457.89625,69457.60695738827,69457.89625,69457.4766139351,0.4170491577809585,1.0416666661297995,0.036734,0.07927792586842822,0.2962375172749908,2.061855669051411,0.036660000000000005,0.056179271187076746,0.4663600182930595,50.0,0.025700625,0.04631090907748771,69458.82897003659,69456.96352996342,69458.25,69458.24,69458.24,69458.24,69458.25,0.00035,0.00031,0.00196,0.00251,0.0274,1.4397139924682278e-07,0.0,0.0,-1.4397137837462992e-07,0.0
