Open,High,Low,Close,Volume,Complete,Timestamp
70033.97,70157.78,70033.97,70109.77,24.79891,True,2026-03-10 13:48:00
70109.77,70166.95,70090.33,70166.95,14.62204,True,2026-03-10 13:49:00
70166.95,70200.0,70094.18,70181.44,23.12988,True,2026-03-10 13:50:00
70181.44,70271.64,70137.51,70265.55,26.46478,True,2026-03-10 13:51:00
70265.55,70296.07,70179.42,70198.69,20.98663,True,2026-03-10 13:52:00
70198.7,70277.92,70195.21,70274.06,12.1917,True,2026-03-10 13:53:00
70274.05,70274.05,70158.9,70170.0,10.63905,True,2026-03-10 13:54:00
70170.01,70183.96,70084.38,70141.8,20.98265,True,2026-03-10 13:55:00
70141.79,70145.88,70078.63,70110.83,13.10019,True,2026-03-10 13:56:00
70110.83,70110.83,69927.89,69929.79,36.1941,True,2026-03-10 13:57:00
69929.79,70005.46,69872.68,69921.41,38.97522,True,2026-03-10 13:58:00
69921.41,69942.0,69893.64,69921.12,12.75162,True,2026-03-10 13:59:00
69921.12,69958.78,69900.0,69909.65,30.04784,True,2026-03-10 14:00:00
69909.64,69909.65,69610.9,69630.0,79.81761,True,2026-03-10 14:01:00
69630.01,69946.71,69606.34,69911.11,67.36746,True,2026-03-10 14:02:00
69911.12,69923.62,69798.36,69834.47,19.51421,True,2026-03-10 14:03:00
69834.48,70054.57,69818.72,70008.0,36.82286,True,2026-03-10 14:04:00
70008.01,70150.1,69997.77,69997.77,41.34013,True,2026-03-10 14:05:00
69997.77,70013.16,69867.25,69948.07,32.8534,True,2026-03-10 14:06:00
69948.07,69948.07,69700.01,69707.65,40.38669,True,2026-03-10 14:07:00
69707.5,69731.03,69632.15,69659.41,26.05397,True,2026-03-10 14:08:00
69659.41,69664.46,69486.66,69624.51,91.40726,True,2026-03-10 14:09:00
69624.51,69664.0,69566.31,69566.32,31.75921,True,2026-03-10 14:10:00
69566.31,69585.52,69421.41,69504.2,181.73897,True,2026-03-10 14:11:00
69504.02,69625.65,69475.7,69581.69,27.8169,True,2026-03-10 14:12:00
69581.69,69581.69,69487.93,69504.12,23.21227,True,2026-03-10 14:13:00
69504.12,69525.09,69482.0,69482.0,16.96554,True,2026-03-10 14:14:00
69482.0,69515.79,69349.0,69357.25,55.93062,True,2026-03-10 14:15:00
69357.25,69376.0,69266.06,69337.38,79.98226,True,2026-03-10 14:16:00
69337.39,69541.72,69334.93,69525.16,46.30521,True,2026-03-10 14:17:00
69525.15,69606.06,69442.0,69566.79,36.70915,True,2026-03-10 14:18:00
69566.79,69650.0,69566.79,69594.39,32.1718,True,2026-03-10 14:19:00
69594.4,69676.3,69570.92,69628.59,30.96574,True,2026-03-10 14:20:00
69628.59,69732.79,69589.42,69732.79,56.75827,True,2026-03-10 14:21:00
69732.79,69761.18,69648.38,69752.02,14.81441,True,2026-03-10 14:22:00
69752.03,69800.0,69712.0,69794.25,18.15613,True,2026-03-10 14:23:00
69794.24,69794.24,69716.19,69725.77,18.83183,True,2026-03-10 14:24:00
69725.76,69809.48,69707.89,69809.47,8.80894,True,2026-03-10 14:25:00
69809.48,69925.39,69785.94,69833.68,20.45261,True,2026-03-10 14:26:00
