Open,High,Low,Close,Volume,Complete,Timestamp,hl_range,oc_change,returns,sma_5,ema_5,sma_10,ema_10,sma_20,ema_20,sma_50,ema_50,sma_100,ema_100,vol_5,rsi_5,vol_mean_5,vol_std_5,vol_10,rsi_10,vol_mean_10,vol_std_10,vol_20,rsi_20,vol_mean_20,vol_std_20,bb_upper_20,bb_lower_20,Close_lag_1,Volume_lag_1,returns_lag_1,Close_lag_2,Volume_lag_2,returns_lag_2,Close_lag_3,Volume_lag_3,returns_lag_3,Close_lag_4,Volume_lag_4,returns_lag_4,Close_lag_5,Volume_lag_5,returns_lag_5
70274.05,70274.05,70158.9,70170.0,10.63905,True,2026-03-10 13:54:00,115.15000000000873,-104.05000000000291,-0.0014807739868736292,70217.948,70202.14353909466,70195.20857142858,70181.14784165489,70195.20857142858,70155.45869036224,70195.20857142858,70131.18991204262,70195.20857142858,70121.08298622759,48.521186815645436,50.44216996723636,18.682408,6.936851923240829,57.880518722785745,57.48998930534448,18.976141428571427,6.400180832626082,57.880518722785745,57.48998930534448,18.976141428571427,6.400180832626082,70310.96960887415,70079.44753398301,70274.06,12.1917,0.0010736667593083116,70198.69,20.98663,-0.0009515331481786404,70265.55,26.46478,0.0011984650072724978,70181.44,23.12988,0.00020650747966111105,70166.95,14.62204,0.0008155781997287725
70170.01,70183.96,70084.38,70141.8,20.98265,True,2026-03-10 13:55:00,99.58000000000175,-28.20999999999185,-0.00040188114578876277,70210.02,70182.0290260631,70188.5325,70173.99368862672,70188.5325,70154.1578627087,70188.5325,70131.60599392331,70188.5325,70121.49322412407,58.2422531329197,44.47295036252086,18.252962000000004,6.653357144199459,56.8165503428086,53.72208148371948,19.226955,5.967731145899825,56.8165503428086,53.72208148371948,19.226955,5.967731145899825,70302.16560068562,70074.89939931438,70170.0,10.63905,-0.0014807739868736292,70274.06,12.1917,0.0010736667593083116,70198.69,20.98663,-0.0009515331481786404,70265.55,26.46478,0.0011984650072724978,70181.44,23.12988,0.00020650747966111105
70141.79,70145.88,70078.63,70110.83,13.10019,True,2026-03-10 13:56:00,67.25,-30.95999999999185,-0.00044153414939451796,70179.076,70158.2960173754,70179.89888888889,70162.50938160368,70179.89888888889,70150.03139959359,70179.89888888889,70130.79124906356,70179.89888888889,70121.28207117112,62.321865585044876,24.674261769134205,15.580044000000001,5.0115690257223795,59.12240278533041,50.11490764027379,18.546203333333334,5.944147847761696,59.12240278533041,50.11490764027379,18.546203333333334,5.944147847761696,70298.14369445955,70061.65408331822,70141.8,20.98265,-0.00040188114578876277,70170.0,10.63905,-0.0014807739868736292,70274.06,12.1917,0.0010736667593083116,70198.69,20.98663,-0.0009515331481786404,70265.55,26.46478,0.0011984650072724978
70110.83,70110.83,69927.89,69929.79,36.1941,True,2026-03-10 13:57:00,182.94000000000233,-181.04000000000815,-0.0025821973580972823,70125.296,70082.12734491694,70154.888,70120.19676676665,70154.888,70129.05602820372,70154.888,70122.90884713951,70154.888,70117.49014896971,125.33297503052819,17.960632923457112,18.621537999999997,10.60563529725919,96.76011503828425,35.98897677025512,20.310993,7.908972262001695,96.76011503828425,35.98897677025512,20.310993,7.908972262001695,70348.40823007657,69961.36776992344,70110.83,13.10019,-0.00044153414939451796,70141.8,20.98265,-0.00040188114578876277,70170.0,10.63905,-0.0014807739868736292,70274.06,12.1917,0.0010736667593083116,70198.69,20.98663,-0.0009515331481786404
69929.79,70005.46,69872.68,69921.41,38.97522,True,2026-03-10 13:58:00,132.7800000000134,-8.379999999990105,-0.00011983447969732275,70054.76599999999,70028.5548966113,70136.052,70084.05371826362,70133.66272727273,70109.28021599384,70133.66272727273,70115.00693156541,70133.66272727273,70113.60737374259,119.79126357963763,0.0,23.978242,13.032422700391132,121.65117360716025,35.525466449451045,21.728624,9.838031500011914,115.68017160178094,35.525466449451045,22.00774090909091,9.378973619434543,70365.0230704763,69902.30238406917,69929.79,36.1941,-0.0025821973580972823,70110.83,13.10019,-0.00044153414939451796,70141.8,20.98265,-0.00040188114578876277,70170.0,10.63905,-0.0014807739868736292,70274.06,12.1917,0.0010736667593083116
69921.41,69942.0,69893.64,69921.12,12.75162,True,2026-03-10 13:59:00,48.36000000000058,-0.2900000000081491,-4.147513615770926e-06,70004.98999999999,69992.74326440753,70111.46900000001,70054.42940585205,70115.95083333334,70091.36019542301,70115.95083333334,70107.40352248441,70115.95083333334,70109.79574257937,111.34845643298574,0.0,24.400756,12.515855680732741,138.39914566611546,29.299223605099613,21.541582,10.00452670725918,126.2137068235883,35.5096397572771,21.2363975,9.33316465848937,70368.37824698052,69863.52341968616,69921.41,38.97522,-0.00011983447969732275,69929.79,36.1941,-0.0025821973580972823,70110.83,13.10019,-0.00044153414939451796,70141.8,20.98265,-0.00040188114578876277,70170.0,10.63905,-0.0014807739868736292
69921.12,69958.78,69900.0,69909.65,30.04784,True,2026-03-10 14:00:00,58.779999999998836,-11.470000000001164,-0.00016404199475061887,69958.56,69965.04550960503,70084.29,70028.1058775153,70100.08153846154,70074.05446252559,70100.08153846154,70099.64848238698,70100.08153846154,70105.8324605481,85.42237704495491,0.0,26.213794,12.553457181313842,149.38276681806911,26.996191282267617,22.233378000000002,10.359445015679384,133.702120018476,34.89477974698754,21.91420076923077,9.263983495077825,70367.48577849849,69832.67729842459,69921.12,12.75162,-4.147513615770926e-06,69921.41,38.97522,-0.00011983447969732275,69929.79,36.1941,-0.0025821973580972823,70110.83,13.10019,-0.00044153414939451796,70141.8,20.98265,-0.00040188114578876277
69909.64,69909.65,69610.9,69630.0,79.81761,True,2026-03-10 14:01:00,298.75,-279.6399999999994,-0.0040001630676165245,69862.394,69853.36367307002,70020.73500000002,69955.72299069434,70066.50428571428,70031.76356133267,70066.50428571428,70081.23089484239,70066.50428571428,70096.41003558674,130.10952397889275,0.0,39.557278000000004,24.705853569620302,192.63342719326002,9.58552188123923,27.568661,21.027097529244628,179.6808471756419,24.536393261646808,26.05015857142857,17.852333236278998,70425.86598006557,69707.142591363,69909.65,30.04784,-0.00016404199475061887,69921.12,12.75162,-4.147513615770926e-06,69921.41,38.97522,-0.00011983447969732275,69929.79,36.1941,-0.0025821973580972823,70110.83,13.10019,-0.00044153414939451796
69630.01,69946.71,69606.34,69911.11,67.36746,True,2026-03-10 14:02:00,340.3700000000099,281.1000000000058,0.0040371966106562684,69858.658,69872.61244871335,69991.977,69947.61153784083,70056.14466666666,70020.27274596765,70056.14466666666,70074.5594872015,70056.14466666666,70092.74072795136,127.94060368004568,48.39215011189592,45.79195,27.42834475633556,184.4054013459321,35.628760469346375,32.206744,24.277910868267426,177.73279450048105,41.87936362595838,28.804645333333333,20.24225930227188,70411.61025566762,69700.6790776657,69630.0,79.81761,-0.0040001630676165245,69909.65,30.04784,-0.00016404199475061887,69921.12,12.75162,-4.147513615770926e-06,69921.41,38.97522,-0.00011983447969732275,69929.79,36.1941,-0.0025821973580972823
69911.12,69923.62,69798.36,69834.47,19.51421,True,2026-03-10 14:03:00,125.25999999999476,-76.64999999999418,-0.0010962492227629683,69841.27,69859.89829914224,69948.01800000001,69927.0403491425,70042.29,70002.57724635169,70042.29,70065.14421319362,70042.29,70087.62645611074,123.09622800888299,43.303653952800396,41.899748,29.906362257303552,160.54139921596803,28.06021101805743,32.938995,23.710965871176917,180.42794990428735,39.410072163837896,28.223993125,19.693322963441094,70403.14589980857,69681.43410019141,69911.11,67.36746,0.0040371966106562684,69630.0,79.81761,-0.0040001630676165245,69909.65,30.04784,-0.00016404199475061887,69921.12,12.75162,-4.147513615770926e-06,69921.41,38.97522,-0.00011983447969732275
